Time,0x180601fd_0_1
11-29-2022_14.59.18,18926
11-29-2022_14.59.19,18428
11-29-2022_14.59.19,18926
11-29-2022_14.59.19,19549
11-29-2022_14.59.19,18428
11-29-2022_14.59.19,18553
11-29-2022_14.59.19,19549
11-29-2022_14.59.19,18428
11-29-2022_14.59.19,18802
11-29-2022_14.59.19,19175
11-29-2022_14.59.19,19175
11-29-2022_14.59.20,18677
11-29-2022_14.59.20,18802
11-29-2022_14.59.20,19424
11-29-2022_14.59.20,18179
11-29-2022_14.59.20,18677
11-29-2022_14.59.20,19549
11-29-2022_14.59.20,19051
11-29-2022_14.59.20,18802
11-29-2022_14.59.20,19051
11-29-2022_14.59.20,19424
11-29-2022_14.59.21,18553
11-29-2022_14.59.21,18802
11-29-2022_14.59.21,19424
11-29-2022_14.59.21,19051
11-29-2022_14.59.21,18926
11-29-2022_14.59.21,19051
11-29-2022_14.59.21,18926
11-29-2022_14.59.21,18677
11-29-2022_14.59.21,18553
11-29-2022_14.59.21,19424
11-29-2022_14.59.22,18553
11-29-2022_14.59.22,18802
11-29-2022_14.59.22,19175
11-29-2022_14.59.22,18677
11-29-2022_14.59.22,19051
11-29-2022_14.59.22,19549
11-29-2022_14.59.22,18428
11-29-2022_14.59.22,18926
11-29-2022_14.59.22,19424
11-29-2022_14.59.23,18802
11-29-2022_14.59.23,18428
11-29-2022_14.59.23,19051
11-29-2022_14.59.23,18553
11-29-2022_14.59.23,19175
11-29-2022_14.59.23,19300
11-29-2022_14.59.23,18428
11-29-2022_14.59.23,18677
11-29-2022_14.59.23,19175
11-29-2022_14.59.24,19051
11-29-2022_14.59.24,18802
11-29-2022_14.59.24,18677
11-29-2022_14.59.24,18304
11-29-2022_14.59.24,18428
11-29-2022_14.59.24,19300
11-29-2022_14.59.24,19051
11-29-2022_14.59.24,18677
11-29-2022_14.59.24,19300
11-29-2022_14.59.25,19424
11-29-2022_14.59.25,18179
11-29-2022_14.59.25,18677
11-29-2022_14.59.25,19175
11-29-2022_14.59.25,18677
11-29-2022_14.59.25,19051
11-29-2022_14.59.25,19300
11-29-2022_14.59.25,18926
11-29-2022_14.59.26,19175
11-29-2022_14.59.26,18304
11-29-2022_14.59.26,18553
11-29-2022_14.59.26,19424
11-29-2022_14.59.26,18802
11-29-2022_14.59.26,18553
11-29-2022_14.59.26,18553
11-29-2022_14.59.26,19175
11-29-2022_14.59.26,18677
11-29-2022_14.59.26,18802
11-29-2022_14.59.27,19175
11-29-2022_14.59.27,19051
11-29-2022_14.59.27,18428
11-29-2022_14.59.27,19300
11-29-2022_14.59.27,18553
11-29-2022_14.59.27,19175
11-29-2022_14.59.27,19424
11-29-2022_14.59.27,18677
11-29-2022_14.59.27,18179
11-29-2022_14.59.28,18677
11-29-2022_14.59.28,19051
11-29-2022_14.59.28,18304
11-29-2022_14.59.28,19300
11-29-2022_14.59.28,18179
11-29-2022_14.59.28,18428
11-29-2022_14.59.28,19300
11-29-2022_14.59.28,18677
11-29-2022_14.59.28,18677
11-29-2022_14.59.29,19300
11-29-2022_14.59.29,19300
11-29-2022_14.59.29,18055
11-29-2022_14.59.29,18553
11-29-2022_14.59.29,19300
11-29-2022_14.59.29,18179
11-29-2022_14.59.29,18428
11-29-2022_14.59.29,19175
11-29-2022_14.59.29,18802
11-29-2022_14.59.29,18553
11-29-2022_14.59.30,18553
11-29-2022_14.59.30,19175
11-29-2022_14.59.30,18055
11-29-2022_14.59.30,18304
11-29-2022_14.59.30,19300
11-29-2022_14.59.30,18802
11-29-2022_14.59.30,18428
11-29-2022_14.59.30,18802
11-29-2022_14.59.30,19300
11-29-2022_14.59.30,17806
11-29-2022_14.59.31,18802
11-29-2022_14.59.31,19300
11-29-2022_14.59.31,18677
11-29-2022_14.59.31,18304
11-29-2022_14.59.31,19051
11-29-2022_14.59.31,19051
11-29-2022_14.59.31,18055
11-29-2022_14.59.31,19175
11-29-2022_14.59.31,19051
11-29-2022_14.59.31,18304
11-29-2022_14.59.32,19175
11-29-2022_14.59.32,18926
11-29-2022_14.59.32,18926
11-29-2022_14.59.32,18428
11-29-2022_14.59.32,18802
11-29-2022_14.59.32,19300
11-29-2022_14.59.32,18553
11-29-2022_14.59.32,18802
11-29-2022_14.59.32,19300
11-29-2022_14.59.32,18553
11-29-2022_14.59.33,18179
11-29-2022_14.59.33,19051
11-29-2022_14.59.33,19424
11-29-2022_14.59.33,18179
11-29-2022_14.59.33,18677
11-29-2022_14.59.33,19300
11-29-2022_14.59.33,18677
11-29-2022_14.59.33,18553
11-29-2022_14.59.33,19300
11-29-2022_14.59.33,19300
11-29-2022_14.59.34,18428
11-29-2022_14.59.34,19051
