Time,0x180600fd_0b0,0x180601fd_0_1,0x180601fd_2_3,0x180603fd_0_1,0x180603fd_2_3,0x180605fd_0_3,0x180605fd_4_7,0x180606fd_0_3,0x180609fd_0_3
11-29-2022_14.58.51,0,19175,846,1295,100,1798,0,0,0
11-29-2022_14.58.52,0,18428,849,1295,100,2042,0,0,0
11-29-2022_14.58.52,0,18926,847,1295,100,1798,0,0,0
11-29-2022_14.58.52,0,19424,845,1295,100,1798,0,0,3068
11-29-2022_14.58.52,0,18179,849,1295,100,1798,0,0,3068
11-29-2022_14.58.52,0,18926,847,1295,100,2042,0,0,3068
11-29-2022_14.58.52,0,19424,845,1295,100,1798,0,0,3068
11-29-2022_14.58.52,0,18677,848,1295,100,1798,0,0,3068
11-29-2022_14.58.52,0,18553,848,1295,100,2042,0,0,0
11-29-2022_14.58.52,0,19051,846,1295,100,1798,0,0,0
11-29-2022_14.58.52,0,19175,846,1295,100,1798,0,0,0
11-29-2022_14.58.53,0,18553,848,1295,100,1798,0,0,0
11-29-2022_14.58.53,0,18926,847,1295,100,2042,0,0,0
11-29-2022_14.58.53,0,19300,845,1295,100,1798,0,0,3068
11-29-2022_14.58.53,0,18802,848,1295,100,1798,0,0,3068
11-29-2022_14.58.53,0,18428,849,1295,100,2042,0,0,3068
11-29-2022_14.58.53,0,19051,846,1295,100,1798,0,0,3068
11-29-2022_14.58.53,0,18677,848,1295,100,1793,0,0,3068
11-29-2022_14.58.53,0,18055,850,1295,100,1793,0,0,0
11-29-2022_14.58.53,0,19051,846,1295,100,1798,0,0,0
11-29-2022_14.58.53,0,19300,845,1295,100,1798,0,0,0
11-29-2022_14.58.54,0,18055,849,1295,100,1798,0,0,0
11-29-2022_14.58.54,0,18802,847,1295,100,2042,0,0,0
11-29-2022_14.58.54,0,19051,846,1295,100,1798,0,0,3068
11-29-2022_14.58.54,0,18926,846,1295,100,1793,0,0,3068
11-29-2022_14.58.54,0,18677,848,1295,100,2042,0,0,3068
11-29-2022_14.58.54,0,19051,846,1295,100,1798,0,0,3068
11-29-2022_14.58.54,0,18802,846,1295,100,1793,0,0,3068
11-29-2022_14.58.54,0,18428,848,1295,100,1798,0,0,0
11-29-2022_14.58.54,0,18677,847,1295,100,2042,0,0,0
11-29-2022_14.58.54,0,19424,844,1295,100,1798,0,0,0
11-29-2022_14.58.55,0,18304,849,1295,100,1798,0,0,0
11-29-2022_14.58.55,0,18677,847,1295,100,2042,0,0,0
11-29-2022_14.58.55,0,19175,845,1295,100,1798,0,0,3069
11-29-2022_14.58.55,0,19051,846,1295,100,1798,0,0,3069
11-29-2022_14.58.55,0,18553,848,1295,100,1798,0,0,3069
11-29-2022_14.58.55,0,19300,846,1295,100,2042,0,0,3069
11-29-2022_14.58.55,0,19424,845,1295,100,1798,0,0,3069
11-29-2022_14.58.55,0,18677,848,1295,100,1798,0,0,0
11-29-2022_14.58.55,0,18553,848,1295,100,2042,0,0,0
11-29-2022_14.58.55,0,19424,845,1295,100,1798,0,0,0
11-29-2022_14.58.56,0,19051,846,1295,100,1798,0,0,0
11-29-2022_14.58.56,0,18553,848,1295,100,1798,0,0,0
11-29-2022_14.58.56,0,19051,846,1295,100,1798,0,0,3069
11-29-2022_14.58.56,0,19300,845,1295,100,1793,0,0,3069
11-29-2022_14.58.56,0,18304,849,1295,100,1798,0,0,3069
11-29-2022_14.58.56,0,18677,847,1295,100,2042,0,0,3069
11-29-2022_14.58.56,0,19300,845,1295,100,1798,0,0,3069
11-29-2022_14.58.56,0,18553,848,1295,100,1798,0,0,0
11-29-2022_14.58.56,0,18677,848,1295,100,2042,0,0,0
11-29-2022_14.58.56,0,18802,847,1295,100,1798,0,0,0
11-29-2022_14.58.57,0,18802,847,1295,100,1798,0,0,0
11-29-2022_14.58.57,0,18553,848,1295,100,1798,0,0,0
11-29-2022_14.58.57,0,19051,847,1295,100,2042,0,0,3069
11-29-2022_14.58.57,0,19673,844,1295,100,2042,0,0,3069
11-29-2022_14.58.57,0,18428,849,1295,100,1798,0,0,3069
11-29-2022_14.58.57,0,18802,847,1295,100,2042,0,0,3069
11-29-2022_14.58.57,0,19549,845,1295,100,2042,0,0,3069
11-29-2022_14.58.57,0,18926,847,1295,100,1798,0,0,0
11-29-2022_14.58.57,0,18677,848,1295,100,1798,0,0,0
11-29-2022_14.58.57,0,19175,846,1295,100,2042,0,0,0
11-29-2022_14.58.58,0,19424,845,1295,100,1798,0,0,0
11-29-2022_14.58.58,0,18304,849,1295,100,1798,0,0,0
11-29-2022_14.58.58,0,18677,848,1295,100,2042,0,0,3070
11-29-2022_14.58.58,0,19175,846,1295,100,1798,0,0,3070
11-29-2022_14.58.58,0,18802,847,1295,100,1793,0,0,3070
11-29-2022_14.58.58,0,18677,848,1295,100,1798,0,0,3070
11-29-2022_14.58.58,0,19051,847,1295,100,1798,0,0,3070
11-29-2022_14.58.58,0,19673,844,1295,100,1798,0,0,0
11-29-2022_14.58.58,0,18802,848,1295,100,2042,0,0,0
11-29-2022_14.58.58,0,18553,848,1295,100,2042,0,0,0
11-29-2022_14.58.59,0,19424,845,1295,100,1798,0,0,0
11-29-2022_14.58.59,0,18428,848,1295,100,1798,0,0,0
11-29-2022_14.58.59,0,18677,848,1295,100,2042,0,0,3070
11-29-2022_14.58.59,0,18926,846,1295,100,1798,0,0,3070
11-29-2022_14.58.59,0,18802,847,1295,100,1793,0,0,3070
11-29-2022_14.58.59,0,18553,848,1295,100,1798,0,0,3070
11-29-2022_14.58.59,0,19549,845,1295,100,2042,0,0,3070
11-29-2022_14.58.59,0,20296,844,1295,100,2047,0,0,0
11-29-2022_14.58.59,0,17806,851,1295,100,1798,0,0,0
11-29-2022_14.58.59,0,18304,849,1295,100,1798,0,0,0
11-29-2022_14.59.00,0,19051,846,1295,100,1798,0,0,0
11-29-2022_14.59.00,0,18926,846,1295,100,1798,0,0,0
11-29-2022_14.59.00,0,20047,844,1295,100,2042,0,0,3070
11-29-2022_14.59.00,0,24031,834,1295,100,2550,0,0,3070
11-29-2022_14.59.00,0,24778,835,1295,100,2555,0,0,3070
11-29-2022_14.59.00,0,23907,839,1295,100,2555,0,0,3070
11-29-2022_14.59.00,0,24778,838,1295,100,2560,0,0,3070
11-29-2022_14.59.00,0,24280,839,1196,100,2550,0,0,0
11-29-2022_14.59.00,0,22786,845,1196,100,2306,0,0,0
11-29-2022_14.59.00,0,24405,841,1196,100,2555,0,0,0
11-29-2022_14.59.01,0,21541,852,1295,100,2550,0,0,0
11-29-2022_14.59.01,0,18553,861,1295,100,1798,0,0,0
11-29-2022_14.59.01,0,18304,859,1295,100,1798,0,0,3071
11-29-2022_14.59.01,0,18553,856,1295,100,1798,0,0,3071
11-29-2022_14.59.01,0,18926,853,1295,100,1798,0,0,3071
11-29-2022_14.59.01,0,18179,855,1295,100,1793,0,0,3071
11-29-2022_14.59.01,0,18926,852,1295,100,2042,0,0,3071
11-29-2022_14.59.01,0,19424,849,1295,100,1798,0,0,0
11-29-2022_14.59.01,0,18677,851,1295,100,1798,0,0,0
11-29-2022_14.59.01,0,18304,852,1295,100,1798,0,0,0
11-29-2022_14.59.02,0,18926,848,1295,100,1798,0,0,0
11-29-2022_14.59.02,0,18802,848,1295,100,1793,0,0,0
11-29-2022_14.59.02,0,18179,850,1295,100,2042,0,0,3071
11-29-2022_14.59.02,0,19051,846,1295,100,1798,0,0,3071
11-29-2022_14.59.02,0,18553,848,1295,100,1798,0,0,3071
11-29-2022_14.59.02,0,18304,849,1295,100,1798,0,0,3071
11-29-2022_14.59.02,0,18677,847,1295,100,1798,0,0,0
11-29-2022_14.59.02,0,18926,846,1295,100,1798,0,0,0
11-29-2022_14.59.02,0,18179,849,1295,100,1793,0,0,0
11-29-2022_14.59.03,0,18553,848,1295,100,1798,0,0,0
11-29-2022_14.59.03,0,19175,845,1295,100,1798,0,0,0
11-29-2022_14.59.03,0,17930,849,1295,100,1793,0,0,3072
11-29-2022_14.59.03,0,18179,848,1295,100,1793,0,0,3072
11-29-2022_14.59.03,0,18802,846,1295,100,1798,0,0,3072
11-29-2022_14.59.03,0,18428,847,1295,100,1793,0,0,3072
11-29-2022_14.59.03,0,18304,848,1295,100,1793,0,0,3072
11-29-2022_14.59.03,0,18802,847,1295,100,2042,0,0,0
11-29-2022_14.59.03,0,18926,845,1295,100,1798,0,0,0
11-29-2022_14.59.03,0,18304,848,1295,100,1798,0,0,0
11-29-2022_14.59.04,0,18428,848,1295,100,1793,0,0,0
11-29-2022_14.59.04,0,19175,845,1295,100,1798,0,0,0
11-29-2022_14.59.04,0,18677,847,1295,100,1793,0,0,3072
11-29-2022_14.59.04,0,18553,847,1295,100,1798,0,0,3072
11-29-2022_14.59.04,0,19300,845,1295,100,2042,0,0,3072
11-29-2022_14.59.04,0,19175,845,1295,100,1798,0,0,3072
11-29-2022_14.59.04,0,18304,848,1295,100,1798,0,0,3072
11-29-2022_14.59.04,0,18428,848,1295,100,1798,0,0,0
11-29-2022_14.59.04,0,18926,846,1295,100,1798,0,0,0
11-29-2022_14.59.04,0,18677,847,1295,100,1793,0,0,0
11-29-2022_14.59.05,0,18553,847,1295,100,1798,0,0,0
11-29-2022_14.59.05,0,19175,846,1295,100,2042,0,0,0
11-29-2022_14.59.05,0,18677,847,1295,100,1798,0,0,3072
11-29-2022_14.59.05,0,18553,848,1295,100,2042,0,0,3072
11-29-2022_14.59.05,0,19175,845,1295,100,1798,0,0,3072
11-29-2022_14.59.05,0,18304,848,1295,100,1793,0,0,3072
