Time,cycle_puissance
11-29-2022_14.58.58,307545.0253737017
11-29-2022_14.58.58,303344.9671933744
11-29-2022_14.58.59,316877.62076732295
11-29-2022_14.58.59,301236.4857116007
11-29-2022_14.58.59,305439.6199656009
11-29-2022_14.58.59,308886.7394242181
11-29-2022_14.58.59,307174.0704006601
11-29-2022_14.58.59,303348.00618736265
11-29-2022_14.58.59,318981.7005979911
11-29-2022_14.58.59,331130.53091597895
11-29-2022_14.58.59,291807.32008832454
11-29-2022_14.58.59,299508.9782627247
11-29-2022_14.59.00,310987.1720423615
11-29-2022_14.59.00,308883.6818903875
11-29-2022_14.59.00,326953.34148475766
11-29-2022_14.59.00,389057.2808276581
11-29-2022_14.59.00,401942.29715731385
11-29-2022_14.59.00,389377.9068128652
11-29-2022_14.59.00,403420.8870119978
11-29-2022_14.59.00,395569.27786730573
11-29-2022_14.59.00,373355.806587823
11-29-2022_14.59.00,398626.2511456235
11-29-2022_14.59.01,355459.6058521988
11-29-2022_14.59.01,308142.4776016593
11-29-2022_14.59.01,303152.9146876939
11-29-2022_14.59.01,306300.33268984186
11-29-2022_14.59.01,311521.96105669474
11-29-2022_14.59.01,299570.6954429171
11-29-2022_14.59.01,311145.5195056032
11-29-2022_14.59.01,318423.084321439
11-29-2022_14.59.01,306551.06546833704
11-29-2022_14.59.01,300601.2416312845
11-29-2022_14.59.02,309636.60207225534
11-29-2022_14.59.02,307545.00645394454
11-29-2022_14.59.02,297762.7073899681
11-29-2022_14.59.02,310990.23057213146
11-29-2022_14.59.02,303348.007183302
11-29-2022_14.59.02,299512.03679249465
11-29-2022_14.59.02,305065.0366997917
11-29-2022_14.59.02,308883.6818903875
11-29-2022_14.59.02,297398.0285458997
11-29-2022_14.59.03,303344.9486535321
11-29-2022_14.59.03,312692.4212833882
11-29-2022_14.59.03,293196.0769924842
11-29-2022_14.59.03,297039.4866770678
11-29-2022_14.59.03,306800.07918533863
11-29-2022_14.59.03,300872.9905640564
11-29-2022_14.59.03,299147.94961899926
11-29-2022_14.59.03,307171.0317865867
11-29-2022_14.59.03,308507.22179945366
11-29-2022_14.59.03,299144.8904732048
11-29-2022_14.59.04,301236.48533168586
11-29-2022_14.59.04,312692.4212833882
11-29-2022_14.59.04,305068.09584558615
11-29-2022_14.59.04,302978.9674909239
11-29-2022_14.59.04,314796.50310593523
11-29-2022_14.59.04,312695.4808090975
11-29-2022_14.59.04,299147.9499989141
11-29-2022_14.59.04,301236.4857116007
11-29-2022_14.59.04,308883.6818903875
11-29-2022_14.59.04,305065.03631987685
11-29-2022_14.59.05,302975.9079652146
11-29-2022_14.59.05,313073.8528129621
11-29-2022_14.59.05,305068.096225501
11-29-2022_14.59.05,303348.0267190837
11-29-2022_14.59.05,312695.4808090975
11-29-2022_14.59.05,299147.94961899926
11-29-2022_14.59.05,301236.4857116007
11-29-2022_14.59.05,307171.0317865867
11-29-2022_14.59.05,306797.0196596293
11-29-2022_14.59.06,299144.8904732048
11-29-2022_14.59.06,299144.9090130471
11-29-2022_14.59.06,310611.28607809753
11-29-2022_14.59.06,295307.02732533356
11-29-2022_14.59.06,307174.07376839296
11-29-2022_14.59.06,312695.48180503683
11-29-2022_14.59.06,306800.08018127794
11-29-2022_14.59.06,299144.8904732048
11-29-2022_14.59.06,308883.70043022983
11-29-2022_14.59.06,312692.4212833882
11-29-2022_14.59.07,299144.89009328996
11-29-2022_14.59.07,309260.1605211637
11-29-2022_14.59.07,310990.23256401013
11-29-2022_14.59.07,307174.07376839296
11-29-2022_14.59.07,307174.0923082353
11-29-2022_14.59.07,314796.4855620322
11-29-2022_14.59.07,366794.3063677158
11-29-2022_14.59.07,403910.71155618073
11-29-2022_14.59.07,287556.9365137988
11-29-2022_14.59.08,306551.06546833704
11-29-2022_14.59.08,308292.9940080895
11-29-2022_14.59.08,311748.1255358353
11-29-2022_14.59.08,310016.12268483784
11-29-2022_14.59.08,311748.1440756776
11-29-2022_14.59.08,321065.8993127485
11-29-2022_14.59.08,313836.66025258263
11-29-2022_14.59.08,311745.06501418666
11-29-2022_14.59.08,313455.24726285116
11-29-2022_14.59.09,301603.0400049395
11-29-2022_14.59.09,303713.9893418495
11-29-2022_14.59.09,311369.18004586204
11-29-2022_14.59.09,307548.06835144735
11-29-2022_14.59.09,311369.1985857044
11-29-2022_14.59.09,316880.68228491093
11-29-2022_14.59.09,303344.9486535321
11-29-2022_14.59.09,303713.9893418495
11-29-2022_14.59.09,316877.6393071653
11-29-2022_14.59.10,309260.1419813214
11-29-2022_14.59.10,305436.543891928
11-29-2022_14.59.10,316880.68228491093
11-29-2022_14.59.10,299512.0397803127
11-29-2022_14.59.10,303348.01017112006
11-29-2022_14.59.10,314796.5050978139
11-29-2022_14.59.10,313073.83427311975
11-29-2022_14.59.10,307545.00683385937
11-29-2022_14.59.10,313073.8528129621
11-29-2022_14.59.11,314793.4250403836
11-29-2022_14.59.11,301603.03962502466
11-29-2022_14.59.11,303348.01017112006
11-29-2022_14.59.11,307174.0747643323
11-29-2022_14.59.11,309263.20349890937
11-29-2022_14.59.11,313076.91433055006
11-29-2022_14.59.11,309260.1419813214
11-29-2022_14.59.11,303344.9486535321
11-29-2022_14.59.11,307171.0317865867
11-29-2022_14.59.12,318978.6245243182
11-29-2022_14.59.12,307171.01324674435
11-29-2022_14.59.12,307548.0693473867
11-29-2022_14.59.12,315180.4054784634
11-29-2022_14.59.12,309263.20449484873
11-29-2022_14.59.12,305439.6064054553
11-29-2022_14.59.12,311369.19958164374
11-29-2022_14.59.12,318978.6245243182
11-29-2022_14.59.12,305436.543891928
11-29-2022_14.59.12,309636.60207225534
11-29-2022_14.59.13,315177.34296493605
11-29-2022_14.59.13,307171.01324674435
11-29-2022_14.59.13,303348.0111670594
11-29-2022_14.59.13,313076.9153264894
