Time,sous_cycle_1
11-29-2022_14.59.08,8185.042448614836
11-29-2022_14.59.08,8273.925217461217
11-29-2022_14.59.08,8229.330187760326
11-29-2022_14.59.08,8273.925217461217
11-29-2022_14.59.08,8513.835660624447
11-29-2022_14.59.08,8327.77891159618
11-29-2022_14.59.08,8273.925217461217
11-29-2022_14.59.08,8317.958417596656
11-29-2022_14.59.09,8012.791752089576
11-29-2022_14.59.09,8067.143769075206
11-29-2022_14.59.09,8264.168230176474
11-29-2022_14.59.09,8165.7835252063305
11-29-2022_14.59.09,8264.168230176474
11-29-2022_14.59.09,8406.076545111026
11-29-2022_14.59.09,8057.641832951442
11-29-2022_14.59.09,8067.143769075206
11-29-2022_14.59.09,8406.076545111026
11-29-2022_14.59.10,8209.944250922259
11-29-2022_14.59.10,8111.4955270864075
11-29-2022_14.59.10,8406.076545111026
11-29-2022_14.59.10,7958.874551239831
11-29-2022_14.59.10,8057.641832951442
11-29-2022_14.59.10,8352.413371120409
11-29-2022_14.59.10,8308.137923597133
11-29-2022_14.59.10,8165.7835252063305
11-29-2022_14.59.10,8308.137923597133
11-29-2022_14.59.11,8352.413371120409
11-29-2022_14.59.11,8012.791752089576
11-29-2022_14.59.11,8057.641832951442
11-29-2022_14.59.11,8156.154063502077
11-29-2022_14.59.11,8209.944250922259
11-29-2022_14.59.11,8308.137923597133
11-29-2022_14.59.11,8209.944250922259
11-29-2022_14.59.11,8057.641832951442
11-29-2022_14.59.11,8156.154063502077
11-29-2022_14.59.12,8460.172486633826
11-29-2022_14.59.12,8156.154063502077
11-29-2022_14.59.12,8165.7835252063305
11-29-2022_14.59.12,8362.297883985639
11-29-2022_14.59.12,8209.944250922259
11-29-2022_14.59.12,8111.4955270864075
11-29-2022_14.59.12,8264.168230176474
11-29-2022_14.59.12,8460.172486633826
11-29-2022_14.59.12,8111.4955270864075
11-29-2022_14.59.12,8219.637219341294
11-29-2022_14.59.13,8362.297883985639
11-29-2022_14.59.13,8156.154063502077
11-29-2022_14.59.13,8057.641832951442
11-29-2022_14.59.13,8308.137923597133
11-29-2022_14.59.13,8352.413371120409
11-29-2022_14.59.13,8156.154063502077
11-29-2022_14.59.13,8165.7835252063305
11-29-2022_14.59.13,8460.172486633826
11-29-2022_14.59.13,7958.874551239831
11-29-2022_14.59.13,8111.4955270864075
11-29-2022_14.59.14,8209.944250922259
11-29-2022_14.59.14,8209.944250922259
