Time,sous_cycle_1
11-29-2022_14.59.04,7985.386608752744
11-29-2022_14.59.04,8287.287589372323
11-29-2022_14.59.04,8233.613446954108
11-29-2022_14.59.04,7887.515970593164
11-29-2022_14.59.04,7940.949754484856
11-29-2022_14.59.04,8136.311945263246
11-29-2022_14.59.04,8038.75738110683
11-29-2022_14.59.05,7985.386608752744
11-29-2022_14.59.05,8243.357368193107
11-29-2022_14.59.05,8038.75738110683
11-29-2022_14.59.05,7994.8144559885795
11-29-2022_14.59.05,8233.613446954108
11-29-2022_14.59.05,7887.515970593164
11-29-2022_14.59.05,7940.949754484856
11-29-2022_14.59.05,8092.558562915383
11-29-2022_14.59.05,8083.00418444677
11-29-2022_14.59.06,7887.515970593164
11-29-2022_14.59.06,7887.515970593164
11-29-2022_14.59.06,8180.36869767524
11-29-2022_14.59.06,7789.392269968028
11-29-2022_14.59.06,8092.558562915383
11-29-2022_14.59.06,8233.613446954108
11-29-2022_14.59.06,8083.00418444677
11-29-2022_14.59.06,7887.515970593164
11-29-2022_14.59.06,8136.311945263246
11-29-2022_14.59.06,8233.613446954108
11-29-2022_14.59.07,7887.515970593164
11-29-2022_14.59.07,8145.929335269468
11-29-2022_14.59.07,8190.049607376631
11-29-2022_14.59.07,8092.558562915383
11-29-2022_14.59.07,8092.558562915383
11-29-2022_14.59.07,8287.287589372323
11-29-2022_14.59.07,9615.748657298152
11-29-2022_14.59.07,10563.956438376501
11-29-2022_14.59.07,7591.479636389193
11-29-2022_14.59.08,8076.7208162006045
11-29-2022_14.59.08,8121.221698321222
11-29-2022_14.59.08,8209.411426779412
11-29-2022_14.59.08,8165.16411528191
11-29-2022_14.59.08,8209.411426779412
11-29-2022_14.59.08,8447.451230348275
11-29-2022_14.59.08,8262.845210671105
11-29-2022_14.59.08,8209.411426779412
11-29-2022_14.59.08,8253.101289432107
11-29-2022_14.59.09,7950.314082025523
11-29-2022_14.59.09,8004.242303224415
11-29-2022_14.59.09,8199.730517078022
11-29-2022_14.59.09,8102.112941383996
